,first_language,funding,school,fast_track,coop,residency,gender,prev_education,age_group,english_grade,first_term_gpa,second_term_gpa,high_school_average_mark,math_score
0,3,4,6,1,2,2,2,1,3,7,2.5,2.0,74.01,34.28
1,1,1,6,2,1,1,1,2,3,9,4.25,3.923077,92.0,41.0
2,3,4,6,1,2,2,2,2,3,8,3.020833,2.321429,78.72,35.34
3,1,2,6,1,1,1,1,2,3,9,4.275,4.326923,97.0,36.04
4,1,2,6,2,1,1,2,2,3,9,4.357143,4.326087,101.0,45.0
5,1,2,6,2,1,1,2,1,1,7,2.210526,1.375,68.0,20.0
6,1,2,6,2,1,1,2,1,1,9,2.045455,2.961538,79.0,34.0
7,1,2,6,2,1,1,1,1,2,9,4.285714,3.608696,98.0,39.0
8,1,2,6,2,1,1,2,1,1,7,2.863636,1.3,78.0,29.0
9,3,4,6,1,2,2,2,2,3,8,2.75,2.75,75.43,41.0
10,1,2,6,2,1,1,2,1,2,7,2.125,2.136364,73.0,18.0
11,1,2,6,2,2,1,2,1,1,9,1.46,0.0,81.0,17.0
12,1,2,6,2,2,1,2,1,4,7,4.421053,4.315789,95.0,38.0
13,3,4,6,2,2,2,2,1,4,8,3.791667,3.979167,88.56,47.0
14,3,4,6,1,2,2,2,2,3,10,3.717391,3.895833,94.19,47.3
15,1,2,6,2,2,1,1,2,8,9,4.233333,4.277778,88.64,39.61
16,3,8,6,1,2,1,2,2,8,7,3.413043,3.346154,86.39,42.48
17,3,4,6,1,2,2,2,2,3,4,3.375,3.696429,88.55,43.55
18,3,4,6,2,2,2,2,1,3,10,3.785714,3.431818,87.14,48.0
19,3,4,6,1,2,2,2,2,3,8,3.58,3.346154,86.64,43.76
20,1,2,6,2,2,1,2,1,1,9,3.086957,2.65625,80.0,28.0
21,1,2,6,2,2,1,1,2,3,9,4.5,4.421053,98.38,32.0
22,3,4,6,1,2,2,1,1,3,9,3.6,3.190476,87.74,43.74
23,3,4,6,2,2,2,2,2,3,8,3.425,3.175,87.26,44.64
24,3,4,6,2,2,2,2,1,2,9,3.770833,3.5,88.18,48.0
25,3,2,6,2,1,1,2,2,6,8,2.071429,3.166667,72.48,41.0
26,3,2,6,1,2,1,2,2,8,8,2.55,3.022727,72.4,32.4
27,3,4,6,1,2,2,1,2,2,8,3.782609,3.269231,87.85,42.98
28,3,4,6,1,1,2,1,2,3,7,3.979167,4.037037,92.31,47.01
29,3,4,6,2,2,2,2,2,1,8,2.645833,3.020833,77.74,39.0
30,1,2,6,2,2,1,2,2,3,9,4.5,4.5,97.0,43.0
31,3,2,6,2,1,1,1,0,4,9,3.065217,3.210526,77.87,26.0
32,3,2,6,2,2,1,2,1,2,9,2.125,1.409091,81.0,31.0
33,1,2,6,2,1,1,2,1,2,7,1.6,2.566667,68.0,21.0
34,3,4,6,2,2,2,1,1,1,9,4.225,4.428571,93.11,46.0
35,3,4,6,2,2,2,2,1,2,8,3.595238,3.0,89.17,48.0
36,1,2,6,2,2,1,2,1,3,9,3.82,3.611111,85.0,20.0
37,1,2,6,2,2,1,1,2,4,9,3.928571,4.190476,85.14,40.0
38,1,1,6,2,1,1,2,1,1,9,2.565217,2.153846,83.0,25.0
39,3,2,6,2,1,1,2,1,2,4,2.52381,1.823529,60.0,16.0
40,1,2,6,2,2,1,1,1,2,9,4.309524,4.095238,95.0,48.0
